Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000712,Slijterij Drinks & Gifts,Heiligeweg 15a,15,A,1561DD,Kromenie,Kromenie,,,,,,,,,,
000725,cafe the cavern,de wiltstraat 15,15,,6821CA,Arnhem,Arnhem,,,,,,,,,,
000726,Makelaarsgroep og Commissaris,Parnassusweg 208,208,,1076AV,Amsterdam,020-Zuid,,,,,,,,,,3
000735,Wijnkoperij Luuc v Boort,Waterstraat 46,46,,5301AK,Zaltbommel,Zaltbommel,,,,,,,,,,
000736,MJ Noorlag,Bernhardlaan 14,14,,3843CL,Hardewijk,Hardewijk,,,,,,,,,,
000738,Arles,Govert Flinckstraat 251 H,251,H,1073BX,Amsterdam,020-Zuid - De Pijp,,,,,"Levering na 13:00, anders bij Luz neerzetten, op het hoekje",,,,,3
000739,MixxiM,Vaaltstraat 4,4,,7201DA,Zutphen,Zutphen,,,,,,,,,,
000743,J de Boer grafinsch ontwerpen,Ottho Heldringstraat 3,3,,1066AZ,Amsterdam,020-Nieuw-West,,,,,,,,,,4
000746,Bont Hospitality,Witte de Withstraat 38,38,,1057XZ,Amsterdam,020-West,,,,,,,,,,4
000747,Belfort drankenboetiek,Groote markt Groote markt,,,4524BW,Sluis,Sluis,,,,,,,,,,
000748,Tunari,Zadelmakersdonk 535,535,,7326JV,Apeldoorn,Apeldoorn,,,,,,,,,,
000753,Artifex Marketing,Posteleinveld 7,7,,5467NK,Veghel,Veghel,,,,,,,,,,
000756,Buffet van Odette,Prinsengracht 598,598,,1017KS,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000758,"Slijterij & Wijnhuis ""Zeewijck""",Zeewijkplein 25,25,,1974PA,Ijmuiden,Ijmuiden,,,,,,,,,,
000759,Suits Amsterdam,Claude Debussylaan 130,130,,1082MD,Amsterdam,020-Zuid,,,,,,,,,,3
000760,Bibi's Café V.O.F.,Chopinplein 15,15,,4102CV,Culemborg,Culemborg,,,,,,,,,,
000761,"Wijnhandel ""Flora""",Hoofdstraat 59,59,,2181EB,Hillegom,Hillegom,,,,,,,,,,
000762,Flapp,Prins hendrikstraat 55B2,55,B2,2518HK,Den Haag,Den Haag,,,,,,,,,,
000763,Vermus B.V.,Museumplein,,,3401MG,Amsterdam,Amsterdam,,,,,,,,,,3
000764,Online Department,Maashaven Zuidzijde 2,2,,3081AE,Rotterdam,Rotterdam,,,,,,,,,,
000766,Panenka,Eendrachtsweg 25,25,,3012LB,Rotterdam,Rotterdam,,,,,,,,,,
000769,Nvt,Naaldwijkseweg 188,188,,2691RN,S-Gravenzande,S-Gravenzande,,,,,,,,,,
000770,Salotto Rosso,Lindengracht 69HS,69,HS,1015KD,Amsterdam,020-Centrum-West,,,,,,,,,,4
000772,Petit Clos,Torenlaan 26,26,,1251HJ,Laren,Laren,,,,,,,,,,
000774,Carlo Zuccherini Private Chef,Fraunhoferstraat 41-1,41,1,1098LP,Amsterdam,020-Oost,,,,,,,,,,2
000776,Top Enoteca,Burgemeester Roellstraat 13 2,13,2,1064BJ,Amsterdam,020-Nieuw-West,,,,,,,,,,4
000780,Bar Evert Jan,Witte de Withstraat 188 H,188,H,1057ZL,Amsterdam,020-West,,,,,,,,,,4
000781,The Bar Exam,President Kennedylaan 262 -3,262,3,1079NX,Amsterdam,020-Zuid,,,,,,,,,,3
000784,Sir Edmond B.V.,Industriestraat 52,52,,2671CT,Naaldwijk,Naaldwijk,,,,,,,,,,
000786,Regardz Zilveren Toren,Stationsplein 51-53 Stationsplein,51,,1012AB,Amsterdam,020-Centrum,,,,,,,,,,5
000787,Spliethoff,Stadeweid 2,2,,1831br,Koedijk,Koedijk,,,,,,,,,,
000788,"Ron's Paris, Omelette B.V.",Kleine-Gartmanplantsoen 11a,11,A,1071RP,Amsterdam,020-Zuid,,,,,,,,,,3
000790,F.e.o. X BANK,Spuistraat 172,172,,1012VT,Amsterdam,020-Centrum,,,,,,,,,,5
000798,Red Bull Nederland BV Crediteuren afdeling Finance,Postbus 37711,37711,,1030BG,Amsterdam,020-Noord,,,,,,,,,,1
000799,Breakaway,Karel Doormansstraat 1,1,,3012GD,Rotterdam,Rotterdam,,,,,,,,,,
000801,Butcher Social Club,Overhoeksplein 1,1,,1031KS,Amsterdam,020-Noord,,,,,,,,,,1
000803,De Liefde Cafe Restaurant,Bilderdijkpark 1a,1,A,1052RZ,Amsterdam,020-West,,,,,,,,,,4
000804,Tom Jongen Select Catering B.V.,Thermiekstraat 40,40,,1117BC,Schiphol,Schiphol,,,,,,,,,,
000806,Bartack,Postjesweg 124,124,,1057EH,Amsterdam,020-West,,,,,,,,,,4
000810,DHP Holding,Quadriviumlaan 34,34,,2408DE,Alphen A/D Rijn,Alphen A/D Rijn,,,,,,,,,,
000811,Ivory-Den Haag B.V.,Maliestraat 10,10,,2514CA,Den Haag,Den Haag,,,,,,,,,,
000812,Blue Boy B.V.,Spuistraat 3 G,3,G,1012SP,Amsterdam,020-Centrum,,,,,,,,,,5
000821,Pulitzer Amsterdam,Keizersgracht 234,234,,1016DZ,Amsterdam,020-Centrum-West,,,,,Leveren bij groot groen luik. Even aankloppen,,,,,4
000851,Bon Vivant,Noordeinde 44,44,,2311CE,Leiden,Leiden,,,,,,,,,,
000852,Tjeplok BV,Amstelzijde 51,51,,1184TZ,Amstelveen,Amstelveen,,,,,,,,,,7
000855,EOAS,Prinsengracht 478,478,,1017KG,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000856,Wijnkoperij De Gouden Ton Amsterdam Centrum,Utrechtsestraat 94,94,,1017VS,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000861,guest agency,Gyroscoopweg 118,118,,1042AZ,Amsterdam,020-Westpoort,,,,,,,,,,4
000862,Amor Collections,"125, Carnapstraat 125, Carnapstraat",125,,1062KX,Amsterdam,020-Nieuw-West,,,,,,,,,,4
000863,Restaurant Sukade Smaeckpakhuys sinds 1860,Stoombootkade 10,10,,7941BS,Meppel,Meppel,,,,,,,,,,
000868,The Labyrinth B.V.,Amstelveenseweg 53,53,,1075VT,Amsterdam,020-Zuid,,,✔️,,"SLEUTEL + Afstandsbediening, middelste knop",,,,,3
000869,Morgan Green Werving & Selectie BV,Koningin Wilhelminaplein 30,30,,1062KR,Amsterdam,020-Nieuw-West,,,,,,,,,,4
000870,Bar Lunar,Halve Maansteeg 14,14,,1017CR,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000871,Café de Huyschkaemer B.V.,Utrechtsestraat 137,137,,1017VM,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000872,BAAS Amsterdam,Asterweg 20 C2,20,C2,1031HN,Amsterdam,020-Noord,,,,,,,,,,1
000873,East 57,Eerste Ringdijkstraat 2,2,,1097BC,Amsterdam,020-Oost,,,,,,,,,,2
000875,ProofAmsterdam,Hugo De Grootkade 16-1,16,1,1052LR,Amsterdam,020-West,,,,,,,,,,4
000876,Drover's Dog 1,Eerste Atjehstraat 62,62,,1094KP,Amsterdam,020-Oost,,,,,,,,,,2
000877,Alec,399IV Singel 399IV Singel,399,IV,1012WN,Amsterdam,020-Centrum,,,,,,,,,,5
000878,Brave Sales Solutions,Nachtwachtlaan 20 verdieping 9,20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
000884,Bakers and Roasters (Kadijksplein),Kadijksplein 16,16,,1018AC,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
000885,VDPprojecten,Kleine oord 59,59,,6811HZ,Arnhem,Arnhem,,,,,,,,,,
000886,Mowgli,Beukenplein 50,50,,1091ML,Amsterdam,020-Oost,,,,,,,,,,2
000890,Chase,Back-Upstraat 20,20,,1033NX,Amsterdam,020-Noord,,,,,,,,,,1
000892,Geluidsryan,Pruimenstraat 62,62,,1033KR,Amsterdam,020-Noord,,,,,,,,,,1
000894,1971,dennekoplaan dennekoplaan,,,1974va,Ijmuiden,Ijmuiden,,,,,,,,,,
000895,B.v.d.B. dienstverlening,charley tooropstraat 13,13,,1213LJ,Hilversum,Hilversum,,,,,,,,,,
000896,Duvel,Eerste Van Der Helststraat 59-63,59,,1073AD,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000897,B&R Horeca Amsterdam B.V. - Bar Karakter,De Clercqstraat 75 H,75,H,1053AE,Amsterdam,020-West,,,,,,,,,,4
000901,Soluc Rick van der Pijll,Postbus 173,173,,1440AD,Purmerend,Purmerend,,,,,,,,,,
000904,New Werk Theater,Oostenburgergracht 75,75,,1018NC,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
000905,Old Spirits Lab,Govert Flinckstraat 271 H,271,H,1073BZ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000906,Mooie Gietvloeren BV,"Teldersweg, 119",119,,3911PW,Rhenen,Rhenen,,,,,,,,,,
000907,Limid bv,Ohmstraat 2,2,,8013pz,Zwolle,Zwolle,,,,,,,,,,
000908,1988,"Commelinstraat, 284",284,,1093VD,Amsterdam,020-Oost,,,,,,,,,,2
000909,Vesper Hotel,Koningin Astrid Boulevard 46,46,,2202BE,Noordwijk Aan Zee,Noordwijk Aan Zee,,,,,,,,,,
000918,Bouchta,Hoofddorpplein 15-I,15,I,1059CV,Amsterdam,020-West,,,,,,,,,,4
000922,Huis,"Newtonstraat, 14",14,,6836JR,Arnhem,Arnhem,,,,,,,,,,
000924,ATMOS UAV,Molengraaffsingel 12-14,12,,2628DC,Delft,Delft,,,,,,,,,,
000925,Misc EatDrinkSleep (Rosalia's),Kloveniersburgwal 20,20,,1012CV,Amsterdam,020-Centrum,,10:30,,,Parkeren op de nieuwmarkt of stilzetten voor de deur,,,,,5
000926,The Walrus & The Carpenter,Javastraat 40,40,,1094HJ,Amsterdam,020-Oost,,,,,,,,,,2
000927,NH TIVOLI DOELEN,Nieuwe Doelenstraat 24,24,,1012CP,Amsterdam,020-Centrum,,10:30,,,Leveranciersingang rechts van hoofdentree. Dubbele deur bij Grolsch uithangbord. Aanbellen.,,,,,5
000931,V.O.F. Eetbar Het Concerthuis,Poelestraat 30,30,,9712KB,Groningen,Groningen,,,,,,,,,,
000937,Philipvanaardam,Batenstein 81,81,,2403PL,Alphen Aan Den Rijn,Alphen Aan Den Rijn,,,,,,,,,,
000938,Fluidum,Oostzijde 247,247,,1508EN,Zaandam,Zaandam,,,,,,,,,,
000941,Brasserie Sequenza,Spui 224,224,,2511BX,S-Gravenhage,S-Gravenhage,,,,,,,,,,
000943,The Uptown Meat Club,Van Baerlestraat 7,7,,1071AL,Amsterdam,020-Zuid,,,,,,,,,,3
000955,Refugee Company,H.J.E. Wenckebachweg 48,48,,1096AN,Amsterdam,020-Oost,,,,,,,,,,2
000956,St. Singer Memorial Foundation,Oude Drift 1,1,,1251BS,Laren,Laren,,,,,,,,,,
000957,LoBoCo,bremstraat 37,37,,1783JA,Den Helder,Den Helder,,,,,,,,,,
000958,VIDA Vineria,Groest 16-18,16,,1211EC,Hilversum,Hilversum,,,,,,,,,,
000969,Restaurant De Basiliek B.V.,Korte Houtstraat 4 A,4,A,2511CD,S-Gravenhage,S-Gravenhage,,,,,,,,,,
000970,Bells Club,amsterdamseweg 497A,497,A,1181BS,Amstelveen,Amstelveen,,,,,,,,,,7
000971,De Cocktailmaker,Krelis Louwenstraat 3,3,,1055KA,Amsterdam,020-West,,,,,Bellen 30 minuten van te voren 0611344821 ALS EERSTE OP ROUTE VAAK,,,,,4
000973,Vida Amsterdam,Valeriusstraat 128 B,128,B,1075GD,Amsterdam,020-Zuid,,,,,,,,,,3
000976,Restaurant Milu,Driehoekjes 15,15,,2513AZ,Den Haag,Den Haag,,,,,,,,,,
000977,Wim koning,Jisperweg 102,102,,1465nj,Westbeemster,Westbeemster,,,,,,,,,,
000985,JReij Design,noorderberg 15,15,,1931ED,Egmond Aan Zee,Egmond Aan Zee,,,,,,,,,,
000987,Bacardi Netherlands,Groningenweg 8A,8,A,28093PV,Gouda,Gouda,,,,,,,,,,
000989,Hosokawa B.V.,Max Euweplein 22,22,,1017MB,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000993,Topslijter Westerpark,Van Limburg Stirumstraat 38,38,,1051BC,Amsterdam,020-West,,,,,,,,,,4
000998,Nee,Notarisappelstraat 20,20,,1036LB,Amsterdam,020-Noord,,,,,,,,,,1
001000,Demain,Lange Hezelstraat 58A,58,A,6511CL,Nijmegen,Nijmegen,,,,,,,,,,
001001,Gall&Gall Vleuterweide,Middenburcht 11,11,,3452MS,Vleuten,Vleuten,,,,,,,,,,
001007,Wijnhandel Jan Toet,Diamantplein 1,1,,2332HR,Leiden,Leiden,,,,,,,,,,
001008,XO FoodGroup,Van den Broekeweg 7,7,,7602PG,Almelo,Almelo,,,,,,,,,,
001009,Nvt,Regentesselaan 17,17,,4835KK,Breda,Breda,,,,,,,,,,
001014,PALATIUM AMSTELODAMUM N.V.,Prins Hendrikkade 59-72,59,,1012AD,Amsterdam,020-Centrum,,10:00,,,Leveranciersingang een paar deuren naast de inang - Aanbellen,,,,,5
001016,LUSH,Leidsestraat 14,14,,1017PA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001017,Hotel CO 51 Netherlands BV (AMSAA),Hoogoorddreef 1,1,,1101BA,Amsterdam,020-Zuidoost,,,,,,,,,,6
001018,AIRrepublic,Maritiem Plaza 1,1,,4506KZ,Cadzand-Bad,Cadzand-Bad,,,,,,,,,,
001019,Ox & Bucks,Admiraal de Ruijterweg 59,59,,1057JX,Amsterdam,020-West,,,,,,,,,,4
001020,Pleasure & Liqueurs,Bijdorp-West 22-28,22,,2992LC,Barendrecht,Barendrecht,,,,,,,,,,
001021,Drovers Dog Amsterdam Oud Zuid,Heemstedestraat 25 Heemstedestraat 25,25 25,,1059CX,Amsterdam,020-West,,,,,,,,,,4
001022,Bruut.tv B.V.,Asterweg 20 E2,20,E2,1031HN,Amsterdam,020-Noord,,,,,,,,,,1
001024,Isle of Harris Import BV,Koning Willem III-laan 7,7,,1261AC,Blaricum,Blaricum,,,,,,,,,,
001025,Café Diner Proust,Noordermarkt 4,4,,1015MV,Amsterdam,020-Centrum-West,,,,,,,,,,4
001027,Primi,van der hoopstraat 96 H,96,H,1051VL,Amsterdam,020-West,,,,,,,,,,4
001028,Wijnkoperij De Gouden Ton Adam Zuid B.V.,Willemsparkweg 158,158,,1071HS,Amsterdam,020-Zuid,,,,,,,,,,3
001029,123SALSA,Margrietstraat 9,9,,6862GN,Oosterbeek,Oosterbeek,,,,,,,,,,
001030,Arden Testaccount,"Nachtwachtlaan, 20",20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
001033,The Rabbit Hole,Warmoerstraat 99,99,,1012HZ,Amsterdam,020-Centrum,,,,,,,,,,5
001034,Particulier,Karthuizerstraat 11,11,,6824KA,Arnhem,Arnhem,,,,,,,,,,
001035,BenU,Bataviastraat 24,24,,1090AA,Amsterdam,020-Oost,,,,,,,,,,2
001037,Horesca Horecavo,Weversbaan 25,25,,2352BZ,Leiderdorp,Leiderdorp,,,,,,,,,,
001038,MingleMush,Anna van Buerenplein 712,712,,2595DK,Den Haag,Den Haag,,,,,"Indien mogelijk voor 12:00 leveren. Paaltjes gaan omhoog dan. Indien later klant bellen, zij hebben een pasje voor de paaltjes.",,,,,
001039,The Artificial,Korte Amstelstraat 26,26,,1018XS,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
001041,Palmolive B.V. (Café Palm Springs),Palmgracht 48 H,48,H,1015HN,Amsterdam,020-Centrum-West,,,,,,,,,,4
001045,Escobar B.V.,Eerste Sweelinckstraat 10,10,,1073CM,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
001046,Ambition Events,Vinckenhofstraat 41,41,,5913EB,Venlo,Venlo,,,,,,,,,,
001047,Café de Huyschkaemer B.V.,Utrechtsestraat 137,137,,1017VM,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001048,Bespak / Aesica,Kroeskarperlaan 60 Kroeskarperlaan 60,60,,2215XP,Voorhout,Voorhout,,,,,,,,,,
001049,Restaurant Morris B.V.,Spaarne 36,36,,2011CJ,Haarlem,Haarlem,,,,,,,,,,
001055,Pampus Horeca B.V.,Vestingplein 1,1,,1398VE,Muiden,Muiden,,,,,,,,,,
001059,Boilermaker B.V.,Nassaulaan 4 b,4,B,9717CJ,Groningen,Groningen,,,,,,,,,,
001060,BIITZ B.V.,Lange Jansstraat 22,22,,3512BB,Utrecht,Utrecht,,,,,,,,,,
001062,geen,2e Sweelinckstraat 179,179,,2517GX,Den Haag,Den Haag,,,,,,,,,,
001063,Kimpton Hotel,Nieuwezijds Voorburgwal 5,5,,1012RC,Amsterdam,020-Centrum,,10:00,,,Leveranciersingang rechts op de hoek naast ingang - Aanbellen>lift>leveren bij storekeeper,,,,,5
001065,restaurant adriano,oude oosterbeekseweg 6,6,,6869VS,Heveadorp,Heveadorp,,,,,,,,,,
001068,Casco,Asterweg 22,22,,1031HP,Amsterdam,020-Noord,,,,,,,,,,1
001071,Boomerang Beach,Strand Noord 63,63,,2586ZZ,Den Haag,Den Haag,,,,,,,,,,
001076,Bar Dumas,Dapperplein 23,23,,1093GP,Amsterdam,020-Oost,,,,,,,,,,2
001077,De Bajes Nederlandse Horeca Maatschappij,Utrechtsestraat 11,11,,1017VH,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001079,Spirits4All,Amaliastraat 37,37,,3522AS,Utrecht,Utrecht,,,,,,,,,,
001080,v.o.f. Martin's Sporting Club,Rembrandtplein 45,45,,1017CT,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001081,Zuid B.V.,Europaplein 22,22,,1078GZ,Amsterdam,020-Zuid,,,,,,,,,,3
001084,Spraakwater Cocktails,Von Zesenstraat 92,92,,1093BG,Amsterdam,020-Oost,,,,,,,,,,2
001087,Arian Lurie,Tegelseweg 151,151,,5912BD,Venlo,Venlo,,,,,,,,,,
001090,The Liquid Chef,Assendorperstraat 99B,99,B,8012DH,Zwolle,Zwolle,,,,,,,,,,
001091,Do it Fluid,Blankenstraat 15A,15,A,1018RR,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
001093,Helst,Eerste van der Helststraat 72,72,,1072NZ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
001096,Hotel Prinsenhof (Groningen),Martinikerkhof 23,23,,9712JH,Groningen,Groningen,,,,,,,,,,
001097,Block & Barrels B.V.,Kaskinenweg 9,9,,9723JL,Groningen,Groningen,,,,,,,,,,
001098,Jan Bos,Oder 12-14 Oder 12-14,12,,2491DC,Den Haag,Den Haag,,,,,,,,,,
001100,Nick Mezas Yacht Design,Kortenaerkade 7A Kortenaerkade 7A,7,A,2518AX,Den Haag,Den Haag,,,,,,,,,,
001102,A'dam Liquor Store,Nieuwe Amstelstraat 111,111,,1011PL,Amsterdam,020-Centrum,,,,,,,,,,5
001104,Bar Fisk,Eerste Sweelinckstraat 23 H,23,H,1073CL,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
001106,Mr. Smith Maastricht,Rechtstraat 55,55,,6221EG,Maastricht,Maastricht,,,,,,,,,,
001107,Bar Brutal,Alexander Battalaan 47 A,47,A,6221CB,Maastricht,Maastricht,,,,,,,,,,
001108,t Wycker Cabinet V.O.F.,Wycker Brugstraat 29 B,29,B,6221EB,Maastricht,Maastricht,,,,,,,,,,
001109,Burgerlijk,Rechtstraat 37,37,,6221EG,Maastricht,Maastricht,,,,,,,,,,
001110,Geen,Bernard van dierenhof 27,27,,7425HN,Devebter,Devebter,,,,,,,,,,
001111,PRIME sneakers&consignment,Schoutenstraat 11,11,,3512GA,Utrecht,Utrecht,,,,,,,,,,
001112,Slijterij Vonk B.V.,Tuiniersstraat 8,8,,1501NK,Zaandam,Zaandam,,,,,,,,,,
001113,Coba,Schaafstraat 4,4,,1021KE,Amsterdam,020-Noord,,,✔️,,,,,,,1
001114,Ambassadors,Herengracht 425,425,,1017BR,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001117,Earth Tastes,Wisselwachter 11,11,,1567ld,Assendelft,Assendelft,,,,,,,,,,
001118,Guts and Glory,Utrechtsestraat 6,6,,1017VN,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001119,The Mad Fox Group B.V.,Nieuwezijds Voorburgwal 271,271,,1012RL,Amsterdam,020-Centrum,,,,,,,,,,5
001120,the secret story of 22,Zwartbroekstraat 22,22,,6041JM,Roermond,Roermond,,,,,,,,,,
001122,JoChabv,Frank Sinatraplein 41,41,,1945WM,Beverwijk,Beverwijk,,,,,,,,,,
001124,Eigenwijs,Plantage 7,7,,8261bv,Kampen,Kampen,,,,,,,,,,
001125,CafÃ© eigenwijs,Plantage 7,7,,8261bv,Kampen,Kampen,,,,,,,,,,
001132,The cocktail queen,"Tegelseweg, 151",151,,5912bd,Venlo,Venlo,,,,,,,,,,
001134,Hangar Amsterdam B.V.,Aambeeldstraat 36,36,,1021KB,Amsterdam,020-Noord,,,,,,,,,,1
001137,The Library BV,Singel 434,434,,1017AV,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
001139,Daan Jetten belastingadvies,Groen van Prinstererstr 65 3,65,3,1051EK,Amsterdam,020-West,,,,,,,,,,4
001144,Practifit,Geldropseweg 78,78,,5731AD,Mierlo,Mierlo,,,,,,,,,,
001145,TwentyFiveSeven,Entrepotdok 64 A,64,A,1018AD,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
001147,Ink Hotel Amsterdam-Mgallery Collection,Nieuwezijds Voorburgwal 67 Suikerbakkerssteeg 1,67,,1012RE,Amsterdam,020-Centrum,,11:00,,,Leveranciersingang is hek naast de ingang - Aanbellen,,,,,5
001149,Jan-Dirk Pilkes Holding BV,Westerweg 72,72,,1906EH,Limmen,Limmen,,,,,,,,,,
001151,TonTon Club Westergas BV,Polonceaukade 27,27,,1014DA,Amsterdam,020-West,,13:00,,✔️,Leveren voor 13:00. Order in de blauwe container die naast het podium staat (eind vna het terras).,,,,,4
001373,KGBA,Zuidkade 98,98,,2741JE,Waddinxveen,Waddinxveen,,,,,,,,,,
002074,Arjen Westenberg,Fioringras 29,29,,1441WJ,Purmerend,Purmerend,,,,,,,,,,
002337,In den stallen,10 Oostereinde,10,,9672TC,Winschoten,Winschoten,,,,,,,,,,
003142,in den stallen,oostereinde 10,10,,9672TC,Winschoten,Winschoten,,,,,,,,,,
012674,Amehoela B.V.,Mauritsweg 33,33,,3012JT,Rotterdam,Rotterdam,,,✔️,✔️,Sleutel,,,,,
012678,Vinatura,Stuartstraat 74,74,,1815BT,Alkmaar,Alkmaar,,,,,,,,,,
012679,F.e.o. The Butcher 9 Streets,Paleisstraat 14,14,,1012RB,Amsterdam,020-Centrum,,,,,,,,,,5
012680,Slijterij Una Más,Papsouwselaan 478,478,,2624EP,Delft,Delft,,,,,,,,,,
012681,Kwestie van Smaak,Helling 11,11,,3523CB,Utrecht,Utrecht,,,,,,,,,,
012682,QO Magazijn,Amstelvlietstraat 4,4,,1096GG,Amsterdam,020-Oost,,,,,,,,,,2
012683,Zuyderziel,Durgerdammerdijk 73,73,,1026CB,Amsterdam,020-Noord,,,,,,,,,,1
012690,Slijterij Una Más,Binnenhof 5,5,,3069KV,Rotterdam,Rotterdam,,,,,,,,,,
012691,Slijterij Una Más,Dr. Plesmanlaan 178,178,,3601DG,Maarssen,Maarssen,,,,,,,,,,
012692,Slijterij Una Más,Muntplein 35,35,,3437AP,Nieuwegein,Nieuwegein,,,,,,,,,,
012693,Slijterij Una Más,Stationspassage 3,3,,3511ED,Utrecht,Utrecht,,,,,,,,,,
012694,Slijterij Una Más,Ella Fitzgeraldplein 16,16,,3543EP,Utrecht,Utrecht,,,,,,,,,,
012695,Slijterij Una Más,Draaiweg 65,65,,3515EK,Utrecht,Utrecht,,,,,,,,,,
012696,Slijterij Una Más,Ina Boudier Bakkerhof 2c,2,C,3582VX,Utrecht,Utrecht,,,,,,,,,,
012697,Slijterij Una Más,Doornburglaan 7,7,,3554EP,Utrecht,Utrecht,,,,,,,,,,
012698,Slijterij Una Más,Handelstraat 104,104,,3533GM,Utrecht,Utrecht,,,,,,,,,,
012709,Jigger Events,Hattem 28,28,,6041SK,Roermond,Roermond,,,,,,,,,,
012712,Cocktails & Dreams,Kinkerstraat 280-5,280,5,1053GB,Amsterdam,020-West,,,,,,,,,,4
012719,The Gin Buzz,De Bruyn Kopsstraat 6,6,,2288EC,Rijswijk,Rijswijk,,,,,,,,,,
012721,Best of Fine Spirits BV,Abelenlaan 6,6,,2935SB,Ouderkerk A/D Ijssel,Ouderkerk A/D Ijssel,,,,,,,,,,
012725,Hotel Twenty Seven,Dam 27,27,,1012JS,Amsterdam,020-Centrum,,10:30,,,,,H27,,,5
012731,Recast Hospitality,Bocholtstraat 116,116,,1066MK,Amsterdam,020-Nieuw-West,,,,,,,,,,4
012732,Bar Kitchen MAAS,Maasstraat 18,18,,1078HK,Amsterdam,020-Zuid,,,,,,,,,,3
012733,Café Carbòn,Van Woustraat 174,174,,1073LX,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012734,The Cabin,Gedempte Zuiderdiep 67,67,,9711HC,Groningen,Groningen,,,,,,,,,,
012735,The Court,Groenewegje 115,115,,2515LP,Den Haag,Den Haag,,,,,,,,,,
012736,Concrete Shakers,Van der Meydestraat 18C,18,C,3039TH,Rotterdam,Rotterdam,,,,,,,,,,
012737,Flying Dutchmen Cocktails,Singel 460,460,,1017AW,Amsterdam,020-Centrum-Zuid,,11:30,,,Parkeren op Koningsplein ,✔️,FD,,,3
012738,Mr. Bartender,Josef Israëlskade 15-B,15,B,1072RT,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012739,Restaurant Sense,Jeroen Boschplein 6,6,,5211ML,S-Hertogenbosch,S-Hertogenbosch,,,,,,,,,,
012740,De Eendracht Maarssen,Langegracht 51,51,,3601AK,Maarssen,Maarssen,,,,,,,,,,
012741,Canal House,Keizersgracht 148,148,,1015CX,Amsterdam,020-Centrum-West,,,,,,,,,,4
012742,Studio Rose Groot,Marnixstraat 186-2,186,2,1016TH,Amsterdam,020-Centrum-West,,,,,,,,,,4
012743,Studioro Film&Fotografie,Voorstraat 60,60,,2611JS,Delft,Delft,,,,,,,,,,
012744,Wihayo BV,Eerste Tuindwarsstraat 16 HS,16,HS,1015RV,Amsterdam,020-Centrum-West,,,,,,,,,,4
012745,Carlton Ambassador Hotel Den Haag,Sophialaan 2,2,,2514JP,Den Haag,Den Haag,,,,,,,,,,
012746,Wijnhuys Huygens,Herenstraat 103,103,,2271CC,Voorburg,Voorburg,,,,,,,,,,
012747,91 Spices Rotterdam BV,Gelderseplein 46,46,,3011WZ,Rotterdam,Rotterdam,,,,,,,,,,
012748,ARC. by LUTE,Amsteldijk 67,67,,1074HZ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012749,Roland BV,Hekelveld 15,1,,1012SZ,Amsterdam,020-Centrum,,11:00,,,Goederen lift bij Hekelveld 15,,,,,5
012750,TonTon 3 (Club Puck),Jan Evertsenstraat 747,747,,1061XZ,Amsterdam,020-Nieuw-West,,,,,"Indien er iets is, 0621348752 bellen via whatsapp.  In het midden van de hoofdingang zit een kleine zilveren bel. na 14:00 uur leveren",,,,,4
012751,CreativaMente Hospitality,Houtmankade 45-3,45,3,1013MR,Amsterdam,020-West,,,,,,,,,,4
012752,Mr Haz Taco Bar,Egelantiersstraat 24,24,,1015PM,Amsterdam,020-Centrum-West,,,,,Indien niet aanwezig leveren in opslagbox. Een paar deuren verder is een lang gangetje. Deze inlopen door de deur en bestelling plaatsen in opslagbox. ,,,,,4
012753,Zuiver Horeca BV,Krommewetering 51,51,,3543AM,Utrecht,Utrecht,,,,,,,,,,
